borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,supported_rate,total_schooldays,presence_rate,absence_rate,release_rate,mean_score_math,mean_score_ela,diversity_index
Bronx,09X004,Claremont,X,9,P.S./M.S. 004 Crotona Park West,2006,586,47.3,52.7,1.4,41.5,56.1,0.7999999999999972,0.2,27.5,12.1,92.4,186.0,87.84,11.99,0.0,206.15,205.3,51.27899999999998
Bronx,09X022,East Concourse-Concourse Village,X,9,J.H.S. 022 Jordan L. Mott,2006,701,48.2,51.8,2.6,17.5,78.2,0.9999999999999858,0.7,11.6,31.0,84.6,186.0,91.97,7.89,0.0,185.65000000000003,199.9,35.7026
Bronx,09X117,Mount Hope,X,9,I.S. 117 Joseph H. Wade,2006,1080,52.5,47.5,1.4,21.0,76.5,0.5,0.6,15.7,24.3,77.3,186.0,87.34,12.57,0.0,197.65,203.65,37.041799999999995
Bronx,09X128,Morrisania,X,9,Mott Hall III,2006,255,55.3,44.7,0.8,40.0,58.8,0.0,0.4,0.8,1.6,73.6,186.0,93.25,6.35,0.0,233.95,246.85,49.41760000000001
Bronx,09X215,Claremont,X,9,Kappa,2006,248,54.4,45.6,6.0,39.1,54.0,0.5,0.4,0.8,3.6,76.1,186.0,94.76,4.84,0.0,225.4,239.15,55.187799999999996
Bronx,09X218,West Concourse,X,9,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,2006,958,55.1,44.9,3.1,13.3,82.7,0.09999999999999433,0.8,9.4,23.2,89.6,186.0,95.47,4.42,0.0,223.65,226.8,29.735599999999984
Bronx,09X219,Claremont,X,9,I.S. 219 New Venture School,2006,524,49.2,50.8,0.6,46.6,51.5,0.7000000000000028,0.6,16.4,13.0,90.4,186.0,85.66,14.15,0.0,188.8,198.25,51.7498
Bronx,09X229,Morris Heights,X,9,I.S. 229 Roland Patterson,2006,404,43.3,56.7,0.2,53.7,43.3,0.5999999999999943,2.2,20.3,12.9,80.4,186.0,88.03,11.97,0.0,186.7,198.75000000000003,52.36179999999999
Bronx,09X231,Claremont-Bathgate,X,9,Eagle Academy for Young Men,2006,269,0.0,100.0,0.7,56.9,30.1,10.799999999999995,1.5,10.4,3.0,65.2,168.0,86.67,12.96,0.0,204.29117647058828,212.72352941176473,57.37000000000001
Bronx,09X232,Morris Heights,X,9,I.S. 232,2006,586,49.1,50.9,0.9,35.2,62.6,0.7999999999999972,0.5,15.7,18.8,89.0,186.0,87.21,12.79,0.0,189.55,200.05,48.405
Bronx,09X241,Claremont-Bathgate,X,9,Urban Assembly School for Applied Math and Science,2006,241,41.5,58.5,5.8,29.5,60.2,0.7999999999999972,3.7,10.0,6.2,91.2,184.88235294117646,88.62882352941176,10.723529411764709,0.43235294117647055,240.15000000000003,228.1,54.5774
Bronx,09X303,Morris Heights,X,9,I.S. X303 Leadership & Community Service,2006,328,50.6,49.4,0.6,30.8,67.4,1.1999999999999886,0.0,14.6,10.7,89.7,186.0,90.52,9.17,0.0,216.15,216.7,45.067999999999984
Bronx,09X313,Claremont,X,9,I.S. 313 School of Leadership Development,2006,452,50.2,49.8,0.9,32.5,65.0,0.8999999999999915,0.7,12.2,26.1,89.0,186.0,86.56,13.22,0.0,183.55,197.3,47.166399999999996
Bronx,09X323,East Concourse-Concourse Village,X,9,Bronx Writing Academy,2006,550,51.3,48.7,2.4,42.2,54.4,0.5999999999999943,0.4,14.2,19.3,68.0,186.0,86.03,13.79,0.0,196.9,208.25,52.5352
