borough,dbn,neighborhood,borough_code,district,school_name,year,total_enrollment,female_rate,male_rate,asian_rate,black_rate,hispanic_rate,other_rate,white_rate,disabilities_rate,ell_rate,poverty_rate,total_schooldays,presence_rate,absense_rate,release_rate,total_cohort,graduation_rate,dropout_rate,diversity_index
Bronx,08X530,Longwood,X,8,Banana Kelly High School,2006,354,56.5,43.5,0.8,29.1,69.2,0.2999999999999972,0.6,14.4,11.6,86.4,168.0,80.34,19.66,0.0,84.0,79.76,3.57,43.63459999999999
Bronx,09X227,E. Concourse-Concourse Village,X,9,Bronx Collegiate Academy,2006,315,50.5,49.5,0.6,34.6,61.9,1.6000000000000083,1.3,11.1,12.1,78.5,170.0,79.25,20.44,0.0,1.0,0.0,0.0,49.666199999999996
Bronx,09X231,Claremont-Bathgate,X,9,Eagle Academy for Young Men,2006,269,0.0,100.0,0.7,56.9,30.1,10.799999999999995,1.5,10.4,3.0,65.2,168.0,86.67,12.96,0.0,,,,57.37000000000001
Bronx,09X241,Claremont-Bathgate,X,9,Urban Assembly School for Applied Math and Science,2006,241,41.5,58.5,5.8,29.5,60.2,0.7999999999999972,3.7,10.0,6.2,91.2,,,,,,,,54.5774
Bronx,09X250,Claremont-Bathgate,X,9,Eximius College Preparatory Academy: A College Boa,2006,298,58.7,41.3,0.7,47.3,47.7,3.5999999999999943,0.7,4.0,3.7,71.3,186.0,88.93,9.69,1.04,,,,54.73479999999999
Bronx,09X252,Claremont-Bathgate,X,9,Mott Hall Bronx High School,2006,226,55.8,44.2,2.2,32.3,61.9,1.7999999999999972,1.8,8.8,2.2,78.4,167.0,86.49,13.06,0.0,,,,51.13780000000001
Bronx,09X260,Claremont-Bathgate,X,9,Bronx Center for Science and Mathematics,2006,232,53.9,46.1,4.7,32.3,59.9,1.7999999999999972,1.3,0.9,4.7,65.1,169.0,92.95,7.05,0.0,,,,53.41680000000001
Bronx,09X263,Claremont-Bathgate,X,9,Validus Preparatory Academy: An Expeditionary Lear,2006,224,69.2,30.8,0.0,29.9,63.4,6.299999999999998,0.4,11.2,11.6,77.1,174.0,82.88,16.67,0.0,,,,50.465799999999994
Bronx,09X297,Morrisania-Melrose,X,9,Morris Academy for Collaborative Studies,2006,387,52.5,47.5,0.8,37.0,59.7,0.9000000000000057,1.6,11.6,11.4,79.1,,,,,7.0,0.0,0.0,50.629000000000005
Bronx,09X324,E. Concourse-Concourse Village,X,9,Bronx Early College Academy for Teaching & Learnin,2006,83,53.0,47.0,1.2,21.7,77.1,0.0,0.0,6.0,10.8,60.0,,,,,,,,35.83260000000001
Bronx,09X327,West Concourse,X,9,Comprehensive Model School Project M.S. 327,2006,215,60.0,40.0,0.9,30.7,67.4,0.09999999999999433,0.9,6.0,11.6,84.0,186.0,93.4,6.13,0.0,,,,45.13119999999999
Bronx,09X329,E. Concourse-Concourse Village,X,9,DreamYard Preparatory School,2006,114,64.0,36.0,0.0,36.0,61.4,0.7999999999999972,1.8,10.5,14.9,60.0,174.0,80.0,20.0,0.0,,,,49.3016
Bronx,09X403,Morrisania-Melrose,X,9,Bronx International High School,2006,335,51.6,48.4,3.9,21.8,70.1,0.6000000000000085,3.6,3.0,54.3,82.3,,,,,91.0,62.64,7.69,45.8222
Bronx,09X404,Morrisania-Melrose,X,9,School for Excellence,2006,403,55.8,44.2,1.2,44.7,51.9,1.9999999999999856,0.2,13.6,6.5,81.4,,,,,125.0,76.8,4.0,53.02819999999999
Bronx,09X412,E. Concourse-Concourse Village,X,9,Bronx High School of Business,2006,487,47.4,52.6,1.6,34.7,61.6,1.2999999999999972,0.8,15.0,10.1,90.7,,,,,78.0,51.28,12.82,49.964600000000004
Bronx,09X413,E. Concourse-Concourse Village,X,9,Bronx High School for Medical Science,2006,503,67.2,32.8,7.0,44.7,46.1,1.5999999999999943,0.6,3.0,3.6,60.7,,,,,65.0,69.23,9.23,58.247800000000005
Bronx,09X505,E. Concourse-Concourse Village,X,9,"Bronx School for Law, Government and Justice",2006,576,62.0,38.0,1.9,37.5,54.5,3.0999999999999943,3.0,8.5,2.4,73.1,185.0,80.35,12.46,7.02,115.0,69.57,13.91,56.0128
