BN,School_Year,Curr_1,Pedagogy_1,Assessment_1,PosLearningEnv_2,HighExpect_2,LeveragingResources_3,GoalsActionPlans_3,TeacSuppSupervision_3,TeachTeamsLeaderDevelop_3,MonitoringRevisingSystems_3,Ave_1_InstructionalCore,Ave_2_SchoolCulture,Ave_3_SysForImprovement
X107,2007,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.67,3.0,2.8
X146,2007,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.67,2.0,2.0
X198,2007,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.67,1.5,1.4
X211,2007,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.5,1.8
X253,2007,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.8
X680,2007,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
X692,2007,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.67,1.5,1.8
Q159,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X097,2007,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
X112,2007,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.67,2.0,2.0
X150,2007,1.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.33,1.5,2.4
X318,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.6
X333,2007,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2
X019,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X044,2007,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,1.0,1.0
X100,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.2
X108,2007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
X111,2007,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.33,1.5,1.6
X057,2007,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.33,1.5,1.4
X021,2007,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.4
X093,2007,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.2
